excelName,action,canonicalName,typeCode,clientConfirmed,decision,existingCode,error
AGUNG REJEKI,CREATE,AGUNG REJEKI,FABRIC,NO,CREATE_UNCONFIRMED,,
ALEXANDER,CREATE,ALEXANDER,ACCESSORIES,NO,CREATE_UNCONFIRMED,,
ALEXDANDER,MERGE,ALEXANDER,ACCESSORIES,NO,MERGE_UNCONFIRMED,,
BERKAT KREASI,CREATE,BERKAT KREASI,FABRIC,NO,CREATE_UNCONFIRMED,,
BEST,CREATE,BEST,OTHER,NO,CREATE_UNCONFIRMED,,
BSG,CREATE,BSG,FABRIC,NO,CREATE_UNCONFIRMED,,
BUANA LABEL,CREATE,BUANA LABEL,ACCESSORIES,NO,CREATE_UNCONFIRMED,,
BUANA MULIA,MERGE,UD BUANA MULIA,FABRIC,NO,MERGE_UNCONFIRMED,,
BURHANI,CREATE,BURHANI,OTHER,NO,CREATE_UNCONFIRMED,,
DAYA INTI KREASI,MERGE,INTI DAYA MANDIRI,FABRIC,NO,MERGE_UNCONFIRMED,,
DUNIA BARU,CREATE,DUNIA BARU,ACCESSORIES,NO,CREATE_UNCONFIRMED,,
ELORAE,SKIP,,,NO,SKIP_UNCONFIRMED,,
EMPAT DELAPAN,CREATE,EMPAT DELAPAN,OTHER,NO,CREATE_UNCONFIRMED,,
FINGERBOND,CREATE,FINGERBOND,OTHER,NO,CREATE_UNCONFIRMED,,
GADING JAYA,CREATE,GADING JAYA,ACCESSORIES,NO,CREATE_UNCONFIRMED,,
HIDUP BARU,CREATE,HIDUP BARU,ACCESSORIES,NO,CREATE_UNCONFIRMED,,
HKTI,CREATE,HKTI,FABRIC,NO,CREATE_UNCONFIRMED,,
INTERMAS,CREATE,INTERMAS,OTHER,NO,CREATE_UNCONFIRMED,,
INTI DAYA,MERGE,INTI DAYA MANDIRI,FABRIC,NO,MERGE_UNCONFIRMED,,
INTI DAYA - BERKAT KREASI,MERGE,INTI DAYA MANDIRI,FABRIC,NO,MERGE_UNCONFIRMED,,
INTI DAYA MANDIRI,CREATE,INTI DAYA MANDIRI,FABRIC,NO,CREATE_UNCONFIRMED,,
JAYA,CREATE,JAYA,OTHER,NO,CREATE_UNCONFIRMED,,
JHONNY,CREATE,JHONNY,OTHER,NO,CREATE_UNCONFIRMED,,
KAMARGA,CREATE,KAMARGA,OTHER,NO,CREATE_UNCONFIRMED,,
KONPEKSI,CREATE,KONPEKSI,OTHER,NO,CREATE_UNCONFIRMED,,
MANTAP JAYA,CREATE,MANTAP JAYA,OTHER,NO,CREATE_UNCONFIRMED,,
MM,CREATE,MM,OTHER,NO,CREATE_UNCONFIRMED,,
MULTI SANDANG,MERGE,MULTI SANDANG TAMAJAYA,FABRIC,NO,MERGE_UNCONFIRMED,,
MULTI SANDANG TAMAJAYA,CREATE,MULTI SANDANG TAMAJAYA,FABRIC,NO,CREATE_UNCONFIRMED,,
NICO LABEL,MERGE,NIKO,ACCESSORIES,NO,MERGE_UNCONFIRMED,,
NIKO,CREATE,NIKO,ACCESSORIES,NO,CREATE_UNCONFIRMED,,
PAK ALEX,MERGE,ALEXANDER,ACCESSORIES,NO,MERGE_UNCONFIRMED,,
PRIMA,MERGE,PRIMA BUTTON,ACCESSORIES,NO,MERGE_UNCONFIRMED,,
PRIMA BUTTON,CREATE,PRIMA BUTTON,ACCESSORIES,NO,CREATE_UNCONFIRMED,,
RAINDO,CREATE,RAINDO,ACCESSORIES,NO,CREATE_UNCONFIRMED,,
RAJAWALI,MERGE,RAJAWALI GLOBALINDO,ACCESSORIES,NO,MERGE_UNCONFIRMED,,
RAJAWALI GLOBALINDO,CREATE,RAJAWALI GLOBALINDO,ACCESSORIES,NO,CREATE_UNCONFIRMED,,
RALAWALI,MERGE,RAJAWALI GLOBALINDO,ACCESSORIES,NO,MERGE_UNCONFIRMED,,
REI,CREATE,REI,FABRIC,NO,CREATE_UNCONFIRMED,,
REY BANDUNG,CREATE,REY BANDUNG,FABRIC,NO,CREATE_UNCONFIRMED,,
ROYALABELS,CREATE,ROYALABELS,ACCESSORIES,NO,CREATE_UNCONFIRMED,,
RUZPACK,CREATE,RUZPACK,ACCESSORIES,NO,CREATE_UNCONFIRMED,,
SHOPEE,SKIP,,,NO,SKIP_UNCONFIRMED,,
SSG,CREATE,SSG,FABRIC,NO,CREATE_UNCONFIRMED,,
TOKO NASIONAL,CREATE,TOKO NASIONAL,ACCESSORIES,NO,CREATE_UNCONFIRMED,,
UD BUANA MULIA,CREATE,UD BUANA MULIA,FABRIC,NO,CREATE_UNCONFIRMED,,
UD KHARISMA,MERGE,ALEXANDER,ACCESSORIES,NO,MERGE_UNCONFIRMED,,
UD KHARISMA/ALEXANDER,MERGE,ALEXANDER,ACCESSORIES,NO,MERGE_UNCONFIRMED,,
WELLWISH,CREATE,WELLWISH,ACCESSORIES,NO,CREATE_UNCONFIRMED,,
